Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: START High Rate Sequencer @ sec=0, msec=287
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 32 @ sec=0, msec=839
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 16 @ sec=0, msec=839
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 33 @ sec=0, msec=856
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 34 @ sec=0, msec=872
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 17 @ sec=0, msec=873
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 35 @ sec=0, msec=890
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 36 @ sec=0, msec=907
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 18 @ sec=0, msec=907
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 6 @ sec=0, msec=907
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 6 @ sec=0, msec=907
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc release 3 @ sec=0, msec=907
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 6 @ sec=0, msec=907
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Processed Image Save to File release 3 @ sec=0, msec=907
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 37 @ sec=0, msec=925
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 38 @ sec=0, msec=943
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 19 @ sec=0, msec=943
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 39 @ sec=0, msec=960
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 40 @ sec=0, msec=977
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 20 @ sec=0, msec=977
Dec  6 10:15:20 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 41 @ sec=0, msec=994
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 42 @ sec=1, msec=12
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 21 @ sec=1, msec=12
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 7 @ sec=1, msec=13
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 7 @ sec=1, msec=13
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 7 @ sec=1, msec=13
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 43 @ sec=1, msec=29
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 44 @ sec=1, msec=46
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 22 @ sec=1, msec=46
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 45 @ sec=1, msec=63
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 46 @ sec=1, msec=80
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 23 @ sec=1, msec=80
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 47 @ sec=1, msec=97
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 48 @ sec=1, msec=114
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 24 @ sec=1, msec=115
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 8 @ sec=1, msec=115
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 8 @ sec=1, msec=115
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc release 4 @ sec=1, msec=115
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 8 @ sec=1, msec=115
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Processed Image Save to File release 4 @ sec=1, msec=115
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 49 @ sec=1, msec=132
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 50 @ sec=1, msec=150
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 25 @ sec=1, msec=150
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 51 @ sec=1, msec=167
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 52 @ sec=1, msec=184
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 26 @ sec=1, msec=184
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 53 @ sec=1, msec=201
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 54 @ sec=1, msec=218
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 27 @ sec=1, msec=219
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 9 @ sec=1, msec=219
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 9 @ sec=1, msec=219
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 9 @ sec=1, msec=219
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 55 @ sec=1, msec=236
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 56 @ sec=1, msec=253
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 28 @ sec=1, msec=253
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 57 @ sec=1, msec=271
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 58 @ sec=1, msec=288
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 29 @ sec=1, msec=288
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 59 @ sec=1, msec=305
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 60 @ sec=1, msec=322
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 30 @ sec=1, msec=322
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 10 @ sec=1, msec=322
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 10 @ sec=1, msec=322
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc release 5 @ sec=1, msec=322
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 10 @ sec=1, msec=322
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Processed Image Save to File release 5 @ sec=1, msec=322
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: 1 Sec Tick Debug release 1 @ sec=1, msec=322
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 61 @ sec=1, msec=339
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 62 @ sec=1, msec=356
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 31 @ sec=1, msec=356
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 63 @ sec=1, msec=373
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 64 @ sec=1, msec=390
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 32 @ sec=1, msec=390
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 65 @ sec=1, msec=407
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 66 @ sec=1, msec=424
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 33 @ sec=1, msec=424
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 11 @ sec=1, msec=424
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 11 @ sec=1, msec=424
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 11 @ sec=1, msec=425
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 67 @ sec=1, msec=441
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 68 @ sec=1, msec=459
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 34 @ sec=1, msec=459
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 69 @ sec=1, msec=476
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 70 @ sec=1, msec=493
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 35 @ sec=1, msec=493
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 71 @ sec=1, msec=511
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 72 @ sec=1, msec=528
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 36 @ sec=1, msec=528
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 12 @ sec=1, msec=528
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 12 @ sec=1, msec=528
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc release 6 @ sec=1, msec=528
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 12 @ sec=1, msec=528
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Processed Image Save to File release 6 @ sec=1, msec=528
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 73 @ sec=1, msec=545
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 74 @ sec=1, msec=562
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 37 @ sec=1, msec=562
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 75 @ sec=1, msec=580
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 76 @ sec=1, msec=597
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 38 @ sec=1, msec=597
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 77 @ sec=1, msec=614
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 78 @ sec=1, msec=631
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 39 @ sec=1, msec=631
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 13 @ sec=1, msec=631
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 13 @ sec=1, msec=631
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 13 @ sec=1, msec=631
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 79 @ sec=1, msec=648
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 80 @ sec=1, msec=666
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 40 @ sec=1, msec=666
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 81 @ sec=1, msec=684
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 82 @ sec=1, msec=701
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 41 @ sec=1, msec=701
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 83 @ sec=1, msec=718
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 84 @ sec=1, msec=734
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 42 @ sec=1, msec=734
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 14 @ sec=1, msec=734
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 14 @ sec=1, msec=734
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc release 7 @ sec=1, msec=734
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 14 @ sec=1, msec=735
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Processed Image Save to File release 7 @ sec=1, msec=735
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 85 @ sec=1, msec=751
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 86 @ sec=1, msec=768
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 43 @ sec=1, msec=768
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 87 @ sec=1, msec=785
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 88 @ sec=1, msec=802
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 44 @ sec=1, msec=802
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 89 @ sec=1, msec=819
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 90 @ sec=1, msec=836
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 45 @ sec=1, msec=836
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 15 @ sec=1, msec=836
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 15 @ sec=1, msec=836
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 15 @ sec=1, msec=836
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 91 @ sec=1, msec=852
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 92 @ sec=1, msec=869
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 46 @ sec=1, msec=869
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 93 @ sec=1, msec=886
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 94 @ sec=1, msec=904
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 47 @ sec=1, msec=904
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 95 @ sec=1, msec=922
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 96 @ sec=1, msec=939
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 48 @ sec=1, msec=939
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 16 @ sec=1, msec=939
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 16 @ sec=1, msec=939
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc release 8 @ sec=1, msec=939
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 16 @ sec=1, msec=939
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Processed Image Save to File release 8 @ sec=1, msec=939
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 97 @ sec=1, msec=956
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 98 @ sec=1, msec=973
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 49 @ sec=1, msec=973
Dec  6 10:15:21 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 99 @ sec=1, msec=990
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 100 @ sec=2, msec=7
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 50 @ sec=2, msec=7
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 101 @ sec=2, msec=24
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 102 @ sec=2, msec=42
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 51 @ sec=2, msec=42
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 17 @ sec=2, msec=42
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 17 @ sec=2, msec=42
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Time-stamp Image Save to File release 17 @ sec=2, msec=42
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 103 @ sec=2, msec=59
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 104 @ sec=2, msec=76
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 52 @ sec=2, msec=76
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 105 @ sec=2, msec=92
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 106 @ sec=2, msec=110
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 53 @ sec=2, msec=110
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 107 @ sec=2, msec=127
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Sequencer cycle 108 @ sec=2, msec=145
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Frame Sampler release 54 @ sec=2, msec=145
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Time-stamp with Image Analysis release 18 @ sec=2, msec=145
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Send Time-stamped Image to Remote release 18 @ sec=2, msec=145
Dec  6 10:15:22 sam-ubuntu-VirtualBox seqgen2: Difference Image Proc release 9 @ sec=2, msec=145
